nom,nb_hab_2010,nb_hab_2012,diff2012_2010
Serain,381,400,19
Maast-et-Violaine,160,200,40
Neuville-sur-Ailette,96,100,4
Francilly-Selency,465,500,35
Bézu-le-Guéry,259,300,41
Marle,2351,2400,49
Lemé,447,500,53
Cierges,74,100,26
Craonne,76,100,24
Courtemont-Varennes,298,300,2
Gland,497,500,3
Montigny-lès-Condé,79,100,21
Ploisy,82,100,18
Ambrief,63,100,37
Chézy-en-Orxois,360,400,40
Étampes-sur-Marne,1164,1200,36
Vaux-en-Vermandois,137,200,63
Mesbrecourt-Richecourt,298,300,2
Commenchon,191,200,9
Bucy-lès-Cerny,185,200,15
Renansart,169,200,31
Presles-et-Boves,356,400,44
Cuffies,1686,1700,14
Attilly,384,400,16
Grisolles,193,200,7
Seringes-et-Nesles,296,300,4
Macogny,81,100,19
Tartiers,190,200,10
Pontru,286,300,14
Trélou-sur-Marne,985,1000,15
La Ville-aux-Bois-lès-Dizy,180,200,20
Charmes,1659,1700,41
Jouaignes,170,200,30
Lesquielles-Saint-Germain,859,900,41
Aizy-Jouy,287,300,13
Chavigny,153,200,47
Gernicourt,50,100,50
Quincy-Basse,58,100,42
Sergy,164,200,36
Leuze,162,200,38
Noyales,171,200,29
Marigny-en-Orxois,462,500,38
Foreste,184,200,16
Saponay,259,300,41
Orainville,492,500,8
Neuilly-Saint-Front,2175,2200,25
Tergnier,14139,14500,361
La Ferté-Milon,2240,2300,60
Ostel,80,100,20
Sissy,484,500,16
Étreux,1509,1600,91
Fontenelle,289,300,11
Cerseuil,91,100,9
Voharies,68,100,32
Saint-Pierre-Aigle,352,400,48
Nanteuil-Notre-Dame,67,100,33
Merval,88,100,12
Breny,268,300,32
Lanchy,52,100,48
Vaudesson,260,300,40
Cœuvres-et-Valsery,462,500,38
Épieds,389,400,11
Soucy,88,100,12
Archon,87,100,13
Germaine,66,100,34
La Neuville-Housset,63,100,37
Paars,284,300,16
Laniscourt,175,200,25
Barenton-Bugny,589,600,11
Cerizy,58,100,42
La Ferté-Chevresis,589,600,11
Ramicourt,171,200,29
Samoussy,338,400,62
Grougis,385,400,15
Macquigny,374,400,26
Servais,282,300,18
Osly-Courtil,297,300,3
Verneuil-sur-Serre,271,300,29
Mayot,171,200,29
Wassigny,973,1000,27
Audigny,265,300,35
Martigny,452,500,48
Épaux-Bézu,588,600,12
Hauteville,167,200,33
La Neuville-en-Beine,178,200,22
Tupigny,364,400,36
Vervins,2666,2700,34
Dorengt,157,200,43
Saint-Pierre-lès-Franqueville,64,100,36
Mont-Saint-Martin,85,100,15
Chierry,1055,1100,45
Montigny-le-Franc,158,200,42
Prémontré,769,800,31
Courtrizy-et-Fussigny,67,100,33
Jumencourt,154,200,46
Clairfontaine,569,600,31
Allemant,180,200,20
Mont-Saint-Père,686,700,14
Parfondeval,155,200,45
Chivres-Val,585,600,15
Montfaucon,181,200,19
Autels,74,100,26
Fontenoy,494,500,6
Crécy-au-Mont,289,300,11
Morcourt,596,600,4
Marizy-Saint-Mard,59,100,41
Dolignon,59,100,41
Rocquigny,393,400,7
Malzy,194,200,6
Bellenglise,386,400,14
Cerny-en-Laonnois,71,100,29
Montloué,157,200,43
Sainte-Geneviève,77,100,23
Étréaupont,895,900,5
Aisonville-et-Bernoville,288,300,12
Hirson,9383,9400,17
Bagneux,73,100,27
Autremencourt,185,200,15
Blérancourt,1262,1300,38
Monthurel,150,200,50
Petit-Verly,188,200,12
Soize,98,100,2
Veslud,257,300,43
Chaudun,261,300,39
Pavant,799,800,1
Missy-sur-Aisne,684,700,16
Cugny,576,600,24
Coingt,77,100,23
Dury,196,200,4
Royaucourt-et-Chailvet,198,200,2
Sissonne,2072,2100,28
Ribemont,1984,2000,16
Chevregny,192,200,8
Montchâlons,64,100,36
Taillefontaine,271,300,29
Vorges,378,400,22
Montescourt-Lizerolles,1684,1700,16
Marcy,157,200,43
Orgeval,72,100,28
Harly,1707,1800,93
Romeny-sur-Marne,487,500,13
Vauxtin,51,100,49
Rogécourt,86,100,14
Montigny-Lengrain,668,700,32
Houry,63,100,37
Pierrepont,394,400,6
Dohis,92,100,8
Paissy,70,100,30
Nouvion-le-Comte,273,300,27
Raillimont,90,100,10
Passy-sur-Marne,152,200,48
Cuiry-lès-Chaudardes,84,100,16
Housset,173,200,27
Billy-sur-Aisne,1081,1100,19
Belleu,3881,3900,19
Pontavert,596,600,4
