nom,nb_hab_2010,nb_hab_2012,diff2012_2010
Servanches,80,100,20
Domme,998,1000,2
Queyssac,467,500,33
Villetoureix,874,900,26
Saint-Crépin-d'Auberoche,294,300,6
Paulin,271,300,29
Montignac,2783,2900,117
Abjat-sur-Bandiat,650,700,50
Mialet,662,700,38
Saint-Laurent-la-Vallée,253,300,47
Saint-Félix-de-Reillac-et-Mortemart,198,200,2
Biron,185,200,15
Monsac,189,200,11
Sagelat,361,400,39
Monsec,197,200,3
Monsaguel,164,200,36
Montpon-Ménestérol,5465,5600,135
Saint-Cernin-de-Labarde,194,200,6
Razac-de-Saussignac,352,400,48
Salagnac,876,900,24
Plaisance,453,500,47
Chalagnac,392,400,8
Saint-Rabier,555,600,45
Manaurie,155,200,45
Fraisse,141,200,59
Saint-Estèphe,590,600,10
Orliac,58,100,42
Thiviers,3095,3100,5
Nontron,3351,3400,49
Thonac,258,300,42
Bourdeilles,769,800,31
Parcoul,375,400,25
Bussac,370,400,30
Jayac,186,200,14
Champagnac-de-Belair,696,700,4
Trémolat,576,600,24
La Chapelle-Aubareil,483,500,17
Saint-Privat-des-Prés,579,600,21
Le Bourdeix,252,300,48
Châtres,184,200,16
La Feuillade,739,800,61
Saint-Front-d'Alemps,258,300,42
Badefols-d'Ans,471,500,29
Eyvirat,277,300,23
Vergt,1674,1700,26
Vallereuil,278,300,22
Saint-Séverin-d'Estissac,81,100,19
Beauregard-et-Bassac,282,300,18
Soudat,84,100,16
Saint-Mesmin,266,300,34
Eygurande-et-Gardedeuil,377,400,23
Marnac,186,200,14
Saint-Marcory,53,100,47
Lusignac,189,200,11
Baneuil,345,400,55
Annesse-et-Beaulieu,1486,1500,14
Fougueyrolles,472,500,28
Pressignac-Vicq,468,500,32
Bosset,199,200,1
Cladech,93,100,7
Savignac-de-Nontron,195,200,5
Hautefort,1073,1100,27
Monplaisant,276,300,24
Saint-Pierre-de-Côle,460,500,40
Creysse,1854,1900,46
Saint-Vivien,287,300,13
Saint-Martin-des-Combes,192,200,8
Montferrand-du-Périgord,177,200,23
Bussière-Badil,466,500,34
Thénac,374,400,26
Bouteilles-Saint-Sébastien,192,200,8
La Chapelle-Montabourlet,67,100,33
Saint-Pantaly-d'Ans,154,200,46
Monbazillac,922,1000,78
Vergt-de-Biron,183,200,17
Sainte-Croix,90,100,10
Payzac,1069,1100,31
Creyssac,93,100,7
Grignols,584,600,16
Montagnac-la-Crempse,378,400,22
Exincourt,3164,3200,36
Amondans,93,100,7
Longevelle-lès-Russey,49,100,51
Fourbanne,175,200,25
Montancy,161,200,39
Ougney-Douvot,197,200,3
Orve,68,100,32
Montperreux,771,800,29
Autechaux,392,400,8
Thoraise,288,300,12
L'Hôpital-Saint-Lieffroy,92,100,8
Présentevillers,467,500,33
Mésandans,190,200,10
Plaimbois-Vennes,76,100,24
Avilley,181,200,19
La Prétière,177,200,23
Ouvans,75,100,25
Villers-sous-Montrond,180,200,20
Longechaux,58,100,42
Saint-Julien-lès-Montbéliard,176,200,24
Fourcatier-et-Maison-Neuve,81,100,19
Champoux,88,100,12
Rennes-sur-Loue,92,100,8
Montbenoît,391,400,9
Péseux,95,100,5
Mondon,81,100,19
Autechaux-Roide,563,600,37
Bethoncourt,5971,6100,129
Le Puy,89,100,11
Étrappe,191,200,9
Tallenay,396,400,4
Bulle,387,400,13
Goux-lès-Dambelin,274,300,26
Raynans,274,300,26
Rouhe,80,100,20
Dambelin,487,500,13
Liebvillers,168,200,32
Champagney,264,300,36
Hôpitaux-Vieux,355,400,45
Chalèze,356,400,44
Aibre,454,500,46
Noël-Cerneux,371,400,29
Passonfontaine,281,300,19
Étrabonne,196,200,4
Montfort,90,100,10
Narbief,73,100,27
Laire,386,400,14
Uzelle,154,200,46
Épenoy,579,600,21
Montenois,1549,1600,51
Lomont-sur-Crête,162,200,38
Vyt-lès-Belvoir,180,200,20
Ronchaux,89,100,11
Sombacour,596,600,4
Charbonnières-les-Sapins,192,200,8
Pessans,78,100,22
Sancey-le-Grand,947,1000,53
By,77,100,23
Ferrières-le-Lac,184,200,16
Villars-sous-Dampjoux,395,400,5
Pouilley-les-Vignes,1898,1900,2
Aïssey,162,200,38
Glamondans,190,200,10
Serre-les-Sapins,1537,1600,63
Lavernay,594,600,6
Bouclans,971,1000,29
La Sommette,199,200,1
Durnes,156,200,44
Battenans-les-Mines,58,100,42
Rosières-sur-Barbèche,97,100,3
Valentigney,11388,11500,112
Eysson,91,100,9
Roche-lez-Beaupré,2042,2100,58
Recologne,573,600,27
La Bosse,77,100,23
Franey,277,300,23
Reculfoz,53,100,47
Noirefontaine,346,400,54
Mesmay,72,100,28
Vuillecin,588,600,12
Rosureux,81,100,19
Bretigney,85,100,15
L'Isle-sur-le-Doubs,3170,3200,30
Chenecey-Buillon,556,600,44
Cour-Saint-Maurice,170,200,30
Mont-de-Vougney,169,200,31
Écurcey,279,300,21
Hérimoncourt,3750,3900,150
Huanne-Montmartin,82,100,18
Grand'Combe-Châteleu,1365,1400,35
Courtetain-et-Salans,86,100,14
Montmahoux,95,100,5
Mont-de-Laval,192,200,8
Abbenans,355,400,45
Malans,158,200,42
Châtillon-le-Duc,1905,2000,95
Champlive,260,300,40
Routelle,481,500,19
Dung,654,700,46
Beure,1356,1400,44
Blussans,187,200,13
Jallerange,191,200,9
Bart,1898,1900,2
Arçon,771,800,29
Flagey-Rigney,75,100,25
Pontarlier,18456,18600,144
Étouvans,760,800,40
Branne,173,200,27
Mandeure,4933,5000,67
Gondenans-Montby,169,200,31
Villeneuve-d'Amont,273,300,27
Nans,88,100,12
Dompierre-les-Tilleuls,248,300,52
Dampierre-sur-le-Doubs,498,500,2
Chapelle-des-Bois,264,300,36
Cusance,84,100,16
Chaffois,887,900,13
Meslières,350,400,50
Montussaint,71,100,29
Côtebrune,72,100,28
Bians-les-Usiers,572,600,28
Pouligney-Lusans,787,800,13
Avanne-Aveney,2340,2400,60
Vennans,187,200,13
Vaux-les-Prés,360,400,40
Arbouans,992,1000,8
Neuchâtel-Urtière,163,200,37
Colombier-Fontaine,1376,1400,24
Rillans,86,100,14
Belvoir,98,100,2
Montbéliard,25875,26200,325
Montgesoye,493,500,7
La Cluse-et-Mijoux,1197,1200,3
Vaudrivillers,81,100,19
Cuse-et-Adrisans,271,300,29
Lavans-Quingey,188,200,12
Vauclusotte,97,100,3
Badevel,850,900,50
Fessevillers,174,200,26
Le Crouzet,68,100,32
La Chevillotte,98,100,2
Mathay,2151,2200,49
Devecey,1350,1400,50
Bonnétage,782,800,18
Placey,146,200,54
Luxiol,166,200,34
Cademène,90,100,10
La Bretenière,63,100,37
Marvelise,155,200,45
Adam-lès-Passavant,99,100,1
Goumois,179,200,21
Lanthenans,62,100,38
Villars-sous-Écot,379,400,21
Orsans,161,200,39
Crosey-le-Grand,179,200,21
Beutal,275,300,25
Saint-Point-Lac,276,300,24
Vernois-lès-Belvoir,63,100,37
Vaux-et-Chantegrue,567,600,33
Montrond-le-Château,558,600,42
Hyèvre-Magny,74,100,26
Osselle,397,400,3
Franois,1860,1900,40
Belmont,60,100,40
Pont-les-Moulins,177,200,23
Villers-Buzon,262,300,38
Hyèvre-Paroisse,193,200,7
Accolans,98,100,2
Athose,168,200,32
Mercey-le-Grand,480,500,20
Trévillers,476,500,24
Voires,55,100,45
Gémonval,80,100,20
Cendrey,182,200,18
Le Bizot,267,300,33
Onans,375,400,25
Battenans-Varin,67,100,33
Bournois,183,200,17
Cernay-l'Église,272,300,28
Bugny,158,200,42
Belleherbe,587,600,13
Feule,178,200,22
Sancey-le-Long,360,400,40
Ouhans,370,400,30
Santoche,76,100,24
Silley-Bléfond,76,100,24
Buffard,163,200,37
Villers-la-Combe,49,100,51
Damprichard,1769,1800,31
Sochaux,4060,4200,140
Loray,495,500,5
Villers-Grélot,154,200,46
Fleurey,97,100,3
Berthelange,267,300,33
Myon,184,200,16
Samson,83,100,17
Moncey,483,500,17
Trouvans,86,100,14
Gennes,599,600,1
Vellevans,187,200,13
Thise,3191,3200,9
Lougres,773,800,27
Corcelles-Ferrières,189,200,11
Courcelles,75,100,25
Chamesol,398,400,2
Bavans,3573,3600,27
Cubry,80,100,20
Bondeval,473,500,27
Cussey-sur-Lison,61,100,39
Blussangeaux,76,100,24
Breconchaux,91,100,9
Échevannes,84,100,16
Chouzelot,289,300,11
Montferrand-le-Château,2195,2200,5
Germondans,65,100,35
Byans-sur-Doubs,566,600,34
Montécheroux,566,600,34
Froidevaux,60,100,40
Vuillafans,697,700,3
Besançon,116914,117600,686
Fontenotte,57,100,43
Villars-lès-Blamont,445,500,55
Villers-sous-Chalamont,271,300,29
Saint-Gorgon-Main,270,300,30
Oye-et-Pallet,693,700,7
Dammartin-les-Templiers,198,200,2
La Grange,90,100,10
Hautepierre-le-Châtelet,89,100,11
Gondenans-les-Moulins,74,100,26
Novillars,1544,1600,56
Rougemontot,86,100,14
Pont-de-Roide,4468,4600,132
Servin,188,200,12
Goux-les-Usiers,699,700,1
Mancenans-Lizerne,185,200,15
Grandfontaine-sur-Creuse,84,100,16
Courchapon,169,200,31
Villedieu,172,200,28
Maisons-du-Bois-Lièvremont,599,600,1
Boussières,1094,1100,6
Sauvagney,159,200,41
Rantechaux,184,200,16
Bremondans,79,100,21
Lizine,92,100,8
Chay,193,200,7
Saint-Juan,182,200,18
Chaux-lès-Clerval,195,200,5
Chaux-Neuve,261,300,39
Mouthe,968,1000,32
Granges-Gontardes,542,600,58
Montjoyer,267,300,33
Poyols,76,100,24
Barret-de-Lioure,75,100,25
La Motte-Chalancon,395,400,5
Bouvières,150,200,50
Montferrand-la-Fare,43,100,57
Bellecombe-Tarendol,96,100,4
Cornillac,85,100,15
Glandage,97,100,3
Buis-les-Baronnies,2271,2300,29
Fay-le-Clos,153,200,47
Montaulieu,74,100,26
Montfroc,80,100,20
Saint-Bardoux,582,600,18
Veaunes,287,300,13
Nyons,6950,7100,150
La Motte-Fanjas,165,200,35
Chabrillan,666,700,34
Montrigaud,490,500,10
Montéléger,1836,1900,64
La Roche-de-Glun,3167,3200,33
Salles-sous-Bois,193,200,7
La Coucourde,978,1000,22
Le Pègue,395,400,5
Valence,63405,64500,1095
Aubenasson,68,100,32
Eygluy-Escoulin,64,100,36
Cornillon-sur-l'Oule,74,100,26
Saint-Agnan-en-Vercors,378,400,22
Châtillon-en-Diois,563,600,37
Espeluche,1050,1100,50
Die,4357,4400,43
Livron-sur-Drôme,8972,9000,28
Sainte-Jalle,277,300,23
Bénivay-Ollon,67,100,33
Dieulefit,3004,3100,96
Taulignan,1580,1600,20
Beaurières,85,100,15
Francillon-sur-Roubion,178,200,22
Chalancon,63,100,37
Tain-l'Hermitage,5853,5900,47
Sainte-Croix,82,100,18
Félines-sur-Rimandoule,70,100,30
Barnave,166,200,34
Saint-Sauveur-en-Diois,63,100,37
Saint-Restitut,1390,1400,10
Eygalayes,69,100,31
Miribel,263,300,37
Teyssières,81,100,19
Cobonne,165,200,35
Montguers,57,100,43
Luc-en-Diois,499,500,1
Crupies,91,100,9
Bésignan,65,100,35
Portes-en-Valdaine,382,400,18
La Laupie,691,700,9
Mornans,70,100,30
Vesc,284,300,16
Larnage,993,1000,7
Sauzet,1836,1900,64
Saint-Martin-en-Vercors,396,400,4
Beauregard-Baret,792,800,8
Beauvallon,1595,1600,5
Barsac,159,200,41
Pilles,254,300,46
Condillac,147,200,53
Réauville,377,400,23
Curnier,197,200,3
Clansayes,544,600,56
Châtillon-Saint-Jean,1178,1200,22
Omblèze,68,100,32
Bonlieu-sur-Roubion,372,400,28
Bellegarde-en-Diois,75,100,25
Bézaudun-sur-Bîne,87,100,13
Montmaur-en-Diois,79,100,21
Colonzelle,478,500,22
Allex,2495,2500,5
Barcelonne,359,400,41
Montclar-sur-Gervanne,184,200,16
Chanos-Curson,1095,1100,5
Verclause,71,100,29
Manas,183,200,17
Hostun,956,1000,44
Beaumont-lès-Valence,3796,3800,4
Roche-Saint-Secret-Béconne,363,400,37
Aix-en-Diois,357,400,43
Piégros-la-Clastre,845,900,55
Mirmande,497,500,3
Marignac-en-Diois,175,200,25
Chaudebonne,57,100,43
Ratières,273,300,27
Saint-Jean-en-Royans,2979,3000,21
Châteauneuf-de-Galaure,1572,1600,28
Gigors-et-Lozeron,168,200,32
Sainte-Euphémie-sur-Ouvèze,86,100,14
Génissieux,1992,2000,8
Clérieux,2040,2100,60
Séderon,290,300,10
Beaumont-en-Diois,79,100,21
Condorcet,484,500,16
Saint-Roman,163,200,37
Arpavon,80,100,20
Lesches-en-Diois,58,100,42
Vassieux-en-Vercors,344,400,56
Pont-de-Barret,586,600,14
Châteauneuf-de-Bordette,99,100,1
Rousset-les-Vignes,287,300,13
Pontaix,166,200,34
Beauvoisin,181,200,19
Échevis,52,100,48
Saint-Andéol,60,100,40
Suze,234,300,66
Comps,167,200,33
Saint-Martin-le-Colonel,163,200,37
Mirabel-et-Blacons,893,900,7
Cléon-d'Andran,883,900,17
La Roche-sur-Grane,164,200,36
Montchenu,572,600,28
Montlaur-en-Diois,156,200,44
Plaisians,175,200,25
Ballons,81,100,19
Marsanne,1181,1200,19
Saint-Sauveur-Gouvernet,197,200,3
La Penne-sur-l'Ouvèze,95,100,5
Souspierre,98,100,2
Vaunaveys-la-Rochette,587,600,13
La Rochette-du-Buis,65,100,35
La Chapelle-en-Vercors,675,700,25
Montbrun-les-Bains,470,600,130
Saint-Étienne-sous-Bailleul,397,400,3
Brestot,482,500,18
Le Fidelaire,992,1000,8
Dangu,587,600,13
Neaufles-Saint-Martin,1184,1200,16
Amécourt,177,200,23
Vesly,685,700,15
Gisors,11554,11700,146
Barils,191,200,9
Grosley-sur-Risle,549,600,51
Lignerolles,286,300,14
Écouis,794,800,6
Saint-Christophe-sur-Avre,147,200,53
Barquet,394,400,6
Perriers-la-Campagne,369,400,31
Louviers,17734,18200,466
Cahaignes,359,400,41
Thilliers-en-Vexin,467,500,33
Venables,789,800,11
Goupillières,780,800,20
Bérengeville-la-Campagne,288,300,12
Saint-Marcel,4909,5000,91
Jouy-sur-Eure,566,600,34
Pacy-sur-Eure,4637,4800,163
Quatremare,389,400,11
Bernay,10449,10500,51
Bouchevilliers,74,100,26
Theillement,384,400,16
Bosguérard-de-Marcouville,597,600,3
Le Fresne,295,300,5
Colletot,171,200,29
Bourneville,882,900,18
Iville,467,500,33
La Boissière,270,300,30
Saint-Antonin-de-Sommaire,166,200,34
Essarts,386,400,14
Grandvilliers,366,400,34
Port-Mort,970,1000,30
Aclou,266,300,34
Bosgouet,599,600,1
Saint-Léger-du-Gennetey,159,200,41
Armentières-sur-Avre,186,200,14
Tournedos-sur-Seine,99,100,1
Croth,1259,1300,41
Bosc-Renoult-en-Ouche,166,200,34
Chambray,455,500,45
Château-sur-Epte,578,600,22
Ormes,468,500,32
Plainville,192,200,8
Normanville,1090,1100,10
Mercey,52,100,48
Villiers-en-Désœuvre,880,900,20
Routot,1384,1400,16
Saint-Aubin-du-Thenney,357,400,43
Neuville-sur-Authou,191,200,9
Bémécourt,469,500,31
Saint-Sulpice-de-Grimbouville,185,200,15
Boisemont,777,800,23
Saint-Nicolas-du-Bosc,270,300,30
Andelys,8205,8300,95
Caorches-Saint-Nicolas,582,600,18
Richeville,278,300,22
Saint-Denis-d'Augerons,86,100,14
Épreville-en-Lieuvin,188,200,12
Foucrainville,83,100,17
Dardez,165,200,35
La Croix-Saint-Leufroy,1087,1100,13
Nassandres,1375,1400,25
Louversey,585,600,15
Appeville-Annebault,884,900,16
Bosc-Bénard-Crescy,363,400,37
Thibouville,284,300,16
Hacqueville,463,500,37
Saint-Denis-du-Béhélan,180,200,20
Dame-Marie,94,100,6
Vitot,493,500,7
Parville,278,300,22
Le Boulay-Morin,682,700,18
Villez-sur-le-Neubourg,277,300,23
Vraiville,596,600,4
Heubécourt-Haricourt,456,500,44
Cormeilles,1174,1200,26
Le Mesnil-Fuguet,185,200,15
Courbépine,699,700,1
Barneville-sur-Seine,467,500,33
Chaignes,275,300,25
Serquigny,2051,2200,149
Chanteloup,89,100,11
L'Hosmes,80,100,20
Sainte-Marie-de-Vatimesnil,252,300,48
Glisolles,833,900,67
Valailles,382,400,18
Le Landin,178,200,22
Honguemare-Guenouville,595,600,5
Daubeuf-près-Vatteville,486,500,14
Harquency,270,300,30
Chamblac,375,400,25
Cantiers,199,200,1
Ferrières-Saint-Hilaire,397,400,3
Vieux-Port,58,100,42
Bazoques,169,200,31
Radepont,746,800,54
Brionne,4297,4300,3
Beauficel-en-Lyons,175,200,25
Tilly,563,600,37
Flancourt-Catelon,479,500,21
Damville,1982,2000,18
Bois-Anzeray,171,200,29
Acquigny,1574,1600,26
Le Val-David,761,800,39
Val-de-Reuil,13380,13700,320
Piseux,653,700,47
Duranville,162,200,38
Acon,473,500,27
Pinterville,775,800,25
Feuguerolles,182,200,18
Carsix,245,300,55
Épreville-près-le-Neubourg,498,500,2
Sassey,171,200,29
Saint-Maclou,563,600,37
Hébécourt,596,600,4
Saint-Amand-des-Hautes-Terres,282,300,18
Thevray,292,300,8
Bueil,1473,1500,27
Boissy-Lamberville,289,300,11
Panilleuse,458,500,42
Amfreville-la-Campagne,896,900,4
Vatteville,195,200,5
Lorleau,142,200,58
Fleury-la-Forêt,281,300,19
Moisville,175,200,25
Guitry,278,300,22
Morainville-Jouveaux,380,400,20
Saint-Pierre-d'Autils,993,1000,7
Saint-Aquilin-de-Pacy,561,600,39
Breuilpont,1193,1200,7
Marais-Vernier,494,500,6
Saint-Mards-de-Blacarville,780,800,20
Le Noyer-en-Ouche,196,200,4
Mouflaines,155,200,45
Gouttières,197,200,3
Jonquerets-de-Livet,287,300,13
Saint-Ouen-du-Tilleul,1563,1600,37
Bretagnolles,184,200,16
Saint-Ouen-des-Champs,293,300,7
Lilly,71,100,29
Damps,1264,1300,36
Notre-Dame-d'Épine,74,100,26
Mousseaux-Neuville,669,700,31
Chambord,167,200,33
La Pyle,159,200,41
Le Tronquay,490,500,10
Folleville,197,200,3
Graveron-Sémerville,291,300,9
Roman,280,300,20
Bourgtheroulde-Infreville,2852,2900,48
Villers-en-Vexin,279,300,21
Cierrey,657,700,43
Fontaine-l'Abbé,598,600,2
Perruel,466,500,34
Hondouville,771,800,29
Le Favril,170,200,30
Saint-Philbert-sur-Boissey,168,200,32
Barville,76,100,24
La Haye-de-Routot,271,300,29
Douains,456,500,44
La Heunière,252,300,48
La Ferrière-sur-Risle,269,300,31
Sainte-Marthe,449,500,51
Amfreville-sur-Iton,772,800,28
Hennezis,763,800,37
Gadencourt,390,400,10
Le Cormier,391,400,9
Reuilly,580,600,20
Ivry-la-Bataille,2556,2600,44
Lieurey,1399,1400,1
Rouvray,278,300,22
Épreville-en-Roumois,384,400,16
Gournay-le-Guérin,145,200,55
Pullay,386,400,14
Berthouville,290,300,10
Le Tilleul-Othon,381,400,19
Sainte-Croix-sur-Aizier,261,300,39
Piencourt,175,200,25
Guernanville,90,100,10
La Goulafrière,173,200,27
Condé-sur-Iton,891,900,9
Mesnil-Verclives,274,300,26
Saint-Ouen-d'Attez,272,300,28
Rugles,2367,2400,33
Boncourt,172,200,28
Évreux,50537,50800,263
Saint-Philbert-sur-Risle,790,800,10
Boisney,281,300,19
Hauville,1281,1300,19
Saint-Ouen-de-Pontcheuil,97,100,3
Éturqueraye,282,300,18
Quittebeuf,598,600,2
Bernienville,274,300,26
Saint-Aubin-le-Guichard,293,300,7
Mesnil-sur-l'Estrée,976,1000,24
Fontaine-sous-Jouy,775,800,25
Saint-Victor-sur-Avre,65,100,35
Breteuil,3347,3400,53
Courteilles,144,200,56
Tourny,897,900,3
Corneuil,481,500,19
Fours-en-Vexin,188,200,12
Mélicourt,99,100,1
Villalet,89,100,11
Broglie,1099,1100,1
Lisors,353,400,47
Le Manoir,1195,1200,5
Huest,675,700,25
Criquebeuf-sur-Seine,1189,1200,11
Hardencourt-Cocherel,283,300,17
Le Plessis-Sainte-Opportune,275,300,25
Farceaux,292,300,8
Guerny,172,200,28
Le Bosc-Roger-en-Roumois,3178,3200,22
La Haye-du-Theil,267,300,33
Muids,861,900,39
Lyons-la-Forêt,752,800,48
Bretigny,168,200,32
Le Troncq,155,200,45
Noards,59,100,41
Portes,265,300,35
Beaubray,292,300,8
Notre-Dame-de-l'Isle,677,700,23
Garencières,554,600,46
Fleury-sur-Andelle,1876,1900,24
Saint-Paul-de-Fourques,287,300,13
Conches-en-Ouche,4993,5000,7
Saint-Laurent-du-Tencement,51,100,49
Tillières-sur-Avre,1151,1200,49
Illiers-l'Évêque,991,1000,9
Verneuil-sur-Avre,6205,6500,295
Villettes,177,200,23
La Chapelle-Hareng,85,100,15
Crosville-la-Vieille,569,600,31
Champ-Dolent,54,100,46
Saint-Aubin-le-Vertueux,879,900,21
Authevernes,359,400,41
Asnières,299,300,1
Places,75,100,25
Épieds,372,400,28
Andé,1094,1100,6
Ailly,1095,1100,5
Mondonville-Saint-Jean,91,100,9
Épeautrolles,187,200,13
Ressuintes,144,200,56
Neuvy-en-Beauce,190,200,10
Guillonville,445,500,55
Janville,1792,1800,8
Vaupillon,472,500,28
Billancelles,299,300,1
Amilly,1871,1900,29
Mottereau,157,200,43
Orrouer,272,300,28
Brou,3471,3500,29
Faverolles,893,900,7
Saint-Georges-sur-Eure,2468,2500,32
Fessanvilliers-Mattanvilliers,174,200,26
Pézy,252,300,48
Baudreville,282,300,18
Montigny-sur-Avre,257,300,43
Moulhard,158,200,42
Gas,760,800,40
Moléans,475,500,25
Chapelle-Royale,350,400,50
Ouarville,579,600,21
Rouvray-Saint-Florentin,197,200,3
Garancières-en-Drouais,298,300,2
Voise,285,300,15
Montigny-le-Gannelon,498,500,2
Montlandon,265,300,35
Margon,1203,1300,97
Châtelets,98,100,2
Chartainvilliers,738,800,62
Louvilliers-lès-Perche,160,200,40
La Chapelle-d'Aunainville,297,300,3
Tillay-le-Péneux,355,400,45
Néron,598,600,2
Charbonnières,262,300,38
Louville-la-Chenard,282,300,18
Manou,570,600,30
Senonches,3148,3200,52
Landelles,569,600,31
Maintenon,4473,4500,27
Rouvres,875,900,25
Villiers-Saint-Orien,168,200,32
Crécy-Couvé,272,300,28
Trancrainville,177,200,23
Lumeau,187,200,13
Luplanté,395,400,5
Marboué,1137,1200,63
Roinville,387,400,13
Châtillon-en-Dunois,760,800,40
Thiville,368,400,32
Oysonville,498,500,2
Saint-Prest,2040,2100,60
Pré-Saint-Évroult,298,300,2
Beaumont-les-Autels,459,500,41
Chartres,38931,39200,269
Francourville,777,800,23
Oinville-Saint-Liphard,267,300,33
Saint-Luperce,875,900,25
Saint-Pellerin,362,400,38
La Ferté-Vidame,729,800,71
Maillebois,984,1000,16
Conie-Molitard,379,400,21
Yermenonville,571,600,29
Santeuil,274,300,26
Gommerville,596,600,4
Bazoches-en-Dunois,261,300,39
Santilly,356,400,44
La Saucelle,167,200,33
Aunay-sous-Crécy,568,600,32
Thivars,951,1000,49
Méréglise,97,100,3
Escorpain,264,300,36
La Mancelière,191,200,9
Bailleau-Armenonville,1390,1400,10
Charonville,291,300,9
Villeau,172,200,28
Favières,497,500,3
Terminiers,990,1000,10
Frétigny,492,500,8
Magny,663,700,37
Pinthières,182,200,18
La Loupe,3483,3500,17
Dreux,31031,31200,169
La Chapelle-Fortin,185,200,15
Vieuvicq,465,500,35
Marolles-les-Buis,249,300,51
Houville-la-Branche,483,500,17
Beauche,292,300,8
Ymonville,496,500,4
Allainville,142,200,58
Villebon,72,100,28
Saussay,1047,1100,53
Blandainville,231,300,69
Vernouillet,11751,11800,49
Meslay-le-Grenet,292,300,8
Réclainville,181,200,19
Argenvilliers,368,400,32
Saint-Arnoult-des-Bois,889,900,11
Lanneray,569,600,31
Mézières-en-Drouais,1061,1100,39
Crucey-Villages,475,500,25
Sandarville,391,400,9
Trizay-lès-Bonneval,296,300,4
Fresnay-l'Évêque,697,700,3
Rueil-la-Gadelière,499,500,1
Pré-Saint-Martin,164,200,36
Guilleville,180,200,20
Sancheville,798,800,2
Bleury,488,500,12
Arrou,1653,1700,47
Châteaudun,13640,13900,260
Guainville,670,700,30
Dambron,89,100,11
Jallans,795,800,5
Boncourt,276,300,24
Champseru,291,300,9
La Gaudaine,177,200,23
Saint-Maur-sur-le-Loir,376,400,24
Jaudrais,357,400,43
Cernay,79,100,21
Écrosnes,785,800,15
Ouerre,674,700,26
Langey,355,400,45
Gilles,564,600,36
Courville-sur-Eure,2794,2800,6
Berchères-les-Pierres,985,1000,15
Prudemanche,252,300,48
Nogent-le-Rotrou,10884,11100,216
Coudray-au-Perche,384,400,16
Luisant,6834,6900,66
La Chapelle-Forainvilliers,175,200,25
Saint-Lubin-de-Cravant,62,100,38
Le Mée,270,300,30
Sorel-Moussel,1767,1800,33
Berchères-Saint-Germain,769,800,31
Corancez,395,400,5
Saint-Ange-et-Torçay,278,300,22
Denonville,763,800,37
Ardelu,73,100,27
Saint-Laurent-la-Gâtine,445,500,55
Marchéville,491,500,9
Saint-Jean-Pierre-Fixte,280,300,20
Chauffours,281,300,19
La Puisaye,249,300,51
Vérigny,299,300,1
Bailleau-l'Évêque,1183,1200,17
Trizay-Coutretot-Saint-Serge,473,500,27
Ermenonville-la-Petite,185,200,15
Serville,361,400,39
Écluzelles,167,200,33
Dampierre-sous-Brou,498,500,2
Daoulas,1782,1800,18
Kerlouan,2284,2300,16
Peumérit,781,800,19
Plouescat,3609,3700,91
La Feuillée,654,700,46
Le Relecq-Kerhuon,10762,10800,38
Plovan,674,700,26
Hanvec,1959,2000,41
Leuhan,791,800,9
Saint-Hernin,748,800,52
Sainte-Sève,871,900,29
Beuzec-Cap-Sizun,1064,1100,36
Guerlesquin,1369,1400,31
Saint-Ségal,996,1000,4
Botsorhel,463,500,37
Tréflévénez,281,300,19
Riec-sur-Belon,4131,4200,69
Lennon,790,800,10
Saint-Jean-Trolimon,998,1000,2
Le Juch,740,800,60
Trébabu,365,400,35
Port-Launay,440,500,60
Saint-Pol-de-Léon,6904,7000,96
Plougoulm,1798,1800,2
Saint-Rivoal,170,200,30
Guengat,1635,1700,65
Fouesnant,9155,9600,445
Pont-Aven,2844,2900,56
Le Cloître-Pleyben,579,600,21
Henvic,1298,1300,2
Île-de-Batz,507,600,93
Saint-Martin-des-Champs,4759,4900,141
Le Faou,1738,1800,62
Bolazec,192,200,8
Plouvorn,2763,2800,37
Carantec,3189,3300,111
Lanmeur,2171,2200,29
Guipavas,13403,13800,397
Concarneau,19048,20100,1052
Santec,2284,2300,16
Gouesnou,6126,6300,174
Pouldergat,1248,1300,52
Pleyber-Christ,3070,3100,30
Goulven,455,500,45
Plourin-lès-Morlaix,4448,4500,52
Ploudiry,895,900,5
Loctudy,4136,4200,64
Collorec,664,700,36
Garlan,990,1000,10
Lampaul-Plouarzel,2054,2100,46
Guilvinec,2892,3000,108
Trézilidé,277,300,23
Ouessant,871,900,29
Morlaix,15421,15600,179
Saint-Urbain,1492,1500,8
Mahalon,881,900,19
Locronan,793,800,7
Plouguin,2085,2100,15
Plouégat-Guérand,1080,1100,20
Mespaul,891,900,9
Dirinon,2455,2500,45
Plouvien,3693,3700,7
Roscanvel,909,1000,91
Le Ponthou,164,200,36
Lannéanou,360,400,40
Ploudaniel,3683,3700,17
Châteauneuf-du-Faou,3666,3700,34
Audierne,2208,2300,92
Sibiril,1245,1300,55
Landévennec,346,400,54
Laz,696,700,4
Querrien,1696,1700,4
Quimper,63550,63900,350
Pont-Croix,1766,1800,34
Pleyben,3690,3700,10
Gourlizon,881,900,19
Plogoff,1335,1400,65
Douarnenez,14912,15100,188
Cléden-Poher,1094,1100,6
Île-de-Sein,195,200,5
Saint-Goazec,699,700,1
Plouhinec,4165,4300,135
Saint-Sauveur,771,800,29
